,param,seasonal,AIC
235,"(3, 0, 2)","(1, 0, 2, 12)",-477.8992137146716
236,"(3, 0, 2)","(1, 0, 3, 12)",2522.517003173216
237,"(3, 0, 2)","(1, 1, 1, 12)",-489.52210511646734
238,"(3, 0, 2)","(1, 1, 2, 12)",-421.0943538148815
239,"(3, 0, 2)","(1, 1, 3, 12)",-373.91483110838715
240,"(3, 0, 2)","(2, 0, 1, 12)",-480.1964328944598
241,"(3, 0, 2)","(2, 0, 2, 12)",-493.2667684649781
242,"(3, 0, 2)","(2, 0, 3, 12)",1918.610850926782
243,"(3, 0, 2)","(2, 1, 1, 12)",-431.2357665384732
244,"(3, 0, 2)","(2, 1, 2, 12)",-422.45346986001675
245,"(3, 0, 2)","(2, 1, 3, 12)",-374.0850544233929
246,"(3, 0, 2)","(3, 0, 1, 12)",-422.99581568044164
247,"(3, 0, 2)","(3, 0, 2, 12)",-429.2311188597751
248,"(3, 0, 2)","(3, 0, 3, 12)",2292.2777401414305
249,"(3, 0, 2)","(3, 1, 1, 12)",-382.4684881873494
250,"(3, 0, 2)","(3, 1, 2, 12)",-364.3975195282864
251,"(3, 0, 2)","(3, 1, 3, 12)",-366.80991790126245
252,"(3, 0, 3)","(1, 0, 1, 12)",-517.6463633289493
253,"(3, 0, 3)","(1, 0, 2, 12)",-216.06011741819609
254,"(3, 0, 3)","(1, 0, 3, 12)",22.0
255,"(3, 0, 3)","(1, 1, 1, 12)",-482.7004647597131
256,"(3, 0, 3)","(1, 1, 2, 12)",-417.510211001725
257,"(3, 0, 3)","(1, 1, 3, 12)",-372.7650698480563
258,"(3, 0, 3)","(2, 0, 1, 12)",-271.3281906570968
259,"(3, 0, 3)","(2, 0, 2, 12)",-477.8607047496713
260,"(3, 0, 3)","(2, 0, 3, 12)",2246.8189526080914
261,"(3, 0, 3)","(2, 1, 1, 12)",-430.9010997592979
262,"(3, 0, 3)","(2, 1, 2, 12)",-416.3589979562214
263,"(3, 0, 3)","(2, 1, 3, 12)",-379.5113935346008
264,"(3, 0, 3)","(3, 0, 1, 12)",-420.48674145928504
265,"(3, 0, 3)","(3, 0, 2, 12)",-421.95817394138044
266,"(3, 0, 3)","(3, 0, 3, 12)",2615.886651595522
267,"(3, 0, 3)","(3, 1, 1, 12)",-382.9592667917277
268,"(3, 0, 3)","(3, 1, 2, 12)",-398.68321943669264
269,"(3, 0, 3)","(3, 1, 3, 12)",-378.7657913107641
270,"(3, 1, 1)","(1, 0, 1, 12)",-543.3964721948362
271,"(3, 1, 1)","(1, 0, 2, 12)",-481.53446934273245
272,"(3, 1, 1)","(1, 0, 3, 12)",2746.2673317422395
273,"(3, 1, 1)","(1, 1, 1, 12)",-482.4823477298062
274,"(3, 1, 1)","(1, 1, 2, 12)",-436.4265841440812
275,"(3, 1, 1)","(1, 1, 3, 12)",-376.0781237080053
276,"(3, 1, 1)","(2, 0, 1, 12)",-480.7456222051325
277,"(3, 1, 1)","(2, 0, 2, 12)",-488.10290734408306
278,"(3, 1, 1)","(2, 0, 3, 12)",2639.3202882078576
279,"(3, 1, 1)","(2, 1, 1, 12)",-419.6665693332144
280,"(3, 1, 1)","(2, 1, 2, 12)",-425.93606683281314
281,"(3, 1, 1)","(2, 1, 3, 12)",-373.2933790751745
282,"(3, 1, 1)","(3, 0, 1, 12)",-424.4039132747414
283,"(3, 1, 1)","(3, 0, 2, 12)",-423.9249325490378
284,"(3, 1, 1)","(3, 0, 3, 12)",2698.180571193032
285,"(3, 1, 1)","(3, 1, 1, 12)",-379.9364134107824
286,"(3, 1, 1)","(3, 1, 2, 12)",-383.32759460596793
287,"(3, 1, 1)","(3, 1, 3, 12)",-371.3772522064997
288,"(3, 1, 2)","(1, 0, 1, 12)",-518.9415723291248
289,"(3, 1, 2)","(1, 0, 2, 12)",-243.77623408245978
290,"(3, 1, 2)","(1, 0, 3, 12)",20.0
291,"(3, 1, 2)","(1, 1, 1, 12)",-482.1747639952605
292,"(3, 1, 2)","(1, 1, 2, 12)",-439.33804925442786
293,"(3, 1, 2)","(1, 1, 3, 12)",-378.25626038910497
294,"(3, 1, 2)","(2, 0, 1, 12)",-121.7414041593002
295,"(3, 1, 2)","(2, 0, 2, 12)",-168.06669557443428
296,"(3, 1, 2)","(2, 0, 3, 12)",22.0
297,"(3, 1, 2)","(2, 1, 1, 12)",-444.3019589464873
298,"(3, 1, 2)","(2, 1, 2, 12)",-442.3980153037075
299,"(3, 1, 2)","(2, 1, 3, 12)",-374.0526003823814
300,"(3, 1, 2)","(3, 0, 1, 12)",-364.3369094901924
301,"(3, 1, 2)","(3, 0, 2, 12)",-252.96542762477674
302,"(3, 1, 2)","(3, 0, 3, 12)",24.0
303,"(3, 1, 2)","(3, 1, 1, 12)",-397.2902135727579
304,"(3, 1, 2)","(3, 1, 2, 12)",-389.49973326908486
305,"(3, 1, 2)","(3, 1, 3, 12)",-393.4957351402753
306,"(3, 1, 3)","(1, 0, 1, 12)",-535.7283366445129
307,"(3, 1, 3)","(1, 0, 2, 12)",-478.02502774185285
308,"(3, 1, 3)","(1, 0, 3, 12)",1028.0798727807655
309,"(3, 1, 3)","(1, 1, 1, 12)",-487.99909655167494
310,"(3, 1, 3)","(1, 1, 2, 12)",-429.26635608527494
311,"(3, 1, 3)","(1, 1, 3, 12)",-375.07291476746127
312,"(3, 1, 3)","(2, 0, 1, 12)",-481.27205507014304
313,"(3, 1, 3)","(2, 0, 2, 12)",-496.11462991304995
314,"(3, 1, 3)","(2, 0, 3, 12)",917.5352670687629
315,"(3, 1, 3)","(2, 1, 1, 12)",-442.5595777004096
316,"(3, 1, 3)","(2, 1, 2, 12)",-434.2812227575678
317,"(3, 1, 3)","(2, 1, 3, 12)",-371.06618329040646
318,"(3, 1, 3)","(3, 0, 1, 12)",-439.7326717785765
319,"(3, 1, 3)","(3, 0, 2, 12)",-438.02306584858405
320,"(3, 1, 3)","(3, 0, 3, 12)",1022.1440756452586
321,"(3, 1, 3)","(3, 1, 1, 12)",-395.56405154528585
322,"(3, 1, 3)","(3, 1, 2, 12)",-369.88726710273113
323,"(3, 1, 3)","(3, 1, 3, 12)",-385.09118772674117
